IL%,LCD (Å)-C,PLD (Å)-C,LCD/PLD,Density (g/cm3)-C,Porosity-C,PV (cm3/g)-C,C%-C,H%-C,N%-C,O%-C,Metal%-C,Halogen%-C,Metalloids%-C,Ametal%-C,TDU-C,DU-C,MP-C,OtoM-C,CO2 Qst ,CO2 Uptake (mol/kg)-C-1 bar-Single
8.21,11.24566,6.06572,1.85396952051859,1.25507,0.5894,0.469614,42.3280423280423,20.6349206349206,1.05820105820106,25.3968253968254,6.34920634920635,3.7037037037037,0.529100529100529,0,485,0.7578125,0.15,4,31.4210907267,3.7517222085
8.8,6.86398,2.07473,3.30837265571906,1.33632,0.44858,0.335684,36.4963503649635,43.4306569343066,3.64963503649635,11.6788321167883,2.91970802919708,1.45985401459854,0.364963503649635,0,244,0.406666666666667,0.08,4,25.6167136073,0.6270897532
7.49,6.56351,6.02406,1.08954924087741,1.29018,0.49728,0.385433,41.958041958042,41.6083916083916,6.29370629370629,5.59440559440559,2.7972027972028,1.3986013986014,0.34965034965035,0,485,0.505208333333333,0.0666666666666667,2,16.1415436122,0.3673483788
4.32,8.26184,7.04151,1.17330515755853,1.1506,0.62238,0.540918,43.4285714285714,18,0.571428571428571,29.7142857142857,6.85714285714286,1.14285714285714,0.285714285714286,0,965,0.793585526315789,0.157894736842105,4.33333333333333,22.9802185501,3.0970405797
9.29,7.99495,5.2012,1.53713566100131,0.963334,0.6511,0.675882,34.2857142857143,41.4285714285714,12.3809523809524,3.80952380952381,1.9047619047619,5.71428571428571,0.476190476190476,0,172,0.398148148148148,0.0555555555555556,2,19.4911642488,1.4708670823
0.6,26.34276,10.27339,2.56417404576289,0.339319,0.8696,2.56278,48.377581120944,28.7610619469027,5.72271386430678,14.1592920353982,2.83185840707965,0.117994100294985,0.0294985250737463,0,1153.5,0.703353658536585,0.0585365853658537,5,14.0301727273,1.2091394538
2.77,10.34629,8.85815,1.16799670360064,0.810981,0.64368,0.793706,41.7302798982188,38.5496183206107,10.4325699745547,0,1.52671755725191,4.58015267175572,3.18066157760814,0,177.5,0.541158536585366,0.0365853658536585,0,20.2364371589,1.5267222136
2.37,10.15021,8.70197,1.16642668269369,0.969917,0.63078,0.650345,38.2284382284382,35.3146853146853,9.55710955710956,0,1.3986013986014,12.5874125874126,2.91375291375291,0,177.5,0.541158536585366,0.0365853658536585,0,26.5332440508,1.9306467416
9.67,7.78199,4.95579,1.5702824373107,0.946387,0.6028,0.636949,50.8771929824561,32.8947368421053,3.50877192982456,7.89473684210526,2.63157894736842,1.75438596491228,0.43859649122807,0,629,0.677801724137931,0.0517241379310345,3,29.78227956,2.4935576538
7.03,7.52797,3.23093,2.32997000863528,1.10157,0.51458,0.467135,43.312101910828,35.3503184713376,15.9235668789809,0,3.82165605095541,1.27388535031847,0.318471337579618,0,323,0.59375,0.0882352941176471,0,21.7424066351,0.6854718395
7.7,9.3564,7.82045,1.19640174158776,0.564317,0.8136,1.44174,37.1134020618557,20.1030927835052,1.03092783505155,28.8659793814433,6.18556701030928,2.06185567010309,0.515463917525773,4.12371134020619,211,0.732638888888889,0.166666666666667,4.66666666666667,18.6043041155,2.3990323202
0.19,14.1593,8.48224,1.66928782962991,0.543376,0.8091,1.48903,43.6945706251352,27.1576898118105,6.25135193597231,16.6125892277742,6.22972096041531,0.0432619511139952,0.0108154877784988,0,2785.5,0.689480198019802,0.142574257425743,2.66666666666667,12.8474150074,1.2605860198
9.67,7.80697,5.06858,1.5402676883861,0.942998,0.60236,0.638771,50.8771929824561,32.8947368421053,3.50877192982456,7.89473684210526,2.63157894736842,1.75438596491228,0.43859649122807,0,629,0.677801724137931,0.0517241379310345,3,29.6293408544,2.6503021043
9.96,8.81317,4.2415,2.07784274431215,1.17693,0.56042,0.47617,48.4210526315789,33.1578947368421,1.05263157894737,12.6315789473684,2.10526315789474,2.10526315789474,0.526315789473684,0,364,0.659420289855073,0.0434782608695652,6,41.7249608966,3.664339265
10.17,8.35648,4.16864,2.00460581868427,1.15858,0.55422,0.478363,48.4210526315789,33.1578947368421,1.05263157894737,12.6315789473684,2.10526315789474,2.10526315789474,0.526315789473684,0,364,0.659420289855073,0.0434782608695652,6,47.1757408384,4.0266691854
10.15,8.82986,6.86211,1.28675582291744,1.13746,0.56808,0.499428,48.4210526315789,33.1578947368421,1.05263157894737,12.6315789473684,2.10526315789474,2.10526315789474,0.526315789473684,0,364,0.659420289855073,0.0434782608695652,6,58.096334592,4.1818863251
