LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
11.25251,6.80253,1.65416543550708,1.15199,0.63994081291,0.555509,45.2830188679245,15.0943396226415,0,30.188679245283,7.54716981132075,1.88679245283019,0,0,481,0.835069444444444,0.166666666666667,4,20.4398902688,3.6816345881
6.86398,6.10482,1.1243541988134,1.21871,0.51111844303,0.419393,37.7049180327869,42.6229508196721,3.27868852459016,13.1147540983607,3.27868852459016,0,0,0,241,0.436594202898551,0.0869565217391304,4,16.8885303526,0.8487544665
6.56351,6.02406,1.08954924087741,1.1936,0.5470018144,0.458279,43.75,40.625,6.25,6.25,3.125,0,0,0,481,0.536830357142857,0.0714285714285714,2,14.5765951444,0.5922479268
8.26184,7.04151,1.17330515755853,1.10094,0.64679894718,0.587497,45,15,0,32.5,7.5,0,0,0,961,0.834201388888889,0.166666666666667,4.33333333333333,18.3641420826,3.1725148606
7.99495,6.66394,1.19973319087507,0.873813,0.692840211009,0.792893,35.5555555555556,40,13.3333333333333,4.44444444444444,2.22222222222222,4.44444444444444,0,0,169,0.440104166666667,0.0625,2,13.6745937115,1.0387780895
26.34276,10.27339,2.56417404576289,0.337271,0.86686066962,2.57022,48.5714285714286,28.5714285714286,5.71428571428571,14.2857142857143,2.85714285714286,0,0,0,1153,0.706495098039216,0.0588235294117647,5,14.031268074,1.2092601872
10.34629,8.86044,1.16769483231081,0.788541,0.657159818367,0.833387,42.3280423280423,38.0952380952381,10.5820105820106,0,1.58730158730159,4.23280423280423,3.17460317460317,0,177,0.553125,0.0375,0,19.7648184162,1.3895455653
9.08106,6.2496,1.45306259600614,1.06064,0.55332103904,0.521686,38.6473429951691,34.7826086956522,9.66183574879227,0,1.44927536231884,12.56038647343,2.89855072463768,0,177,0.553125,0.0375,0,25.9958976061,1.7655977991
7.78198,6.86232,1.13401590132783,0.854856,0.652220078904,0.762959,54.5454545454545,30.3030303030303,3.03030303030303,9.09090909090909,3.03030303030303,0,0,0,625,0.72337962962963,0.0555555555555556,3,27.2614026487,2.1642118626
7.52797,6.67777,1.12731795195103,1.02412,0.5531989004,0.54017,45.0704225352113,33.8028169014084,16.9014084507042,0,4.22535211267606,0,0,0,321,0.626953125,0.09375,0,16.7904249708,0.640128168
